review,classification
The shirt does have a weird yellow tinge as other reviewers have described. i could get over that if the shirt was a flattering fit which it was not. not worth the money so i returned it.,bad
I'm not sure why this dress is getting great reviews. the plunging neckline is ridiculous and ran down to the underwire of my bra and the slit up the side came up to the upper part of my thigh. it was one of the worst fitting/cut dresses i've every tried on at retailer. i'm 5'4 125. maybe you have to be 6 feet tall and 90 pounds for this dress to not look like a bad renaissance faire costume.,bad
"This dress hangs like a sack. it really needs a belt to give it some shape. i tried to style it with one, but then didn't look right either. i did like the slip that came with it. i'll be returning it.",bad
"First of all it arrived rolled in a tight ball the size of a large starbucks coffee. i don't know why they do that.... you're not going to be immediately impressed by something that is packaged like it's cheap! second, i'm usually a 0-4 in retailer and mine is no where near as loose-fitting as the photo. also, he sleeves and back are a very thin waffle knit... like a flimsy t-shirt. and see-thru. the sleeves form-fit to my arms so i couldn't layer under it, but i couldn't wear it alone with the fa",bad
"Agree with other poster. this shirt runs very big. i'm all for a flowy, shirt that hides my belly but this is just a tent. i'll be retuning it.",bad
"This is a beautiful dress. however, it looked awful on me. i ordered the medium and it was huge. also, i looked 7 months pregnant. not a good style for the short person.",bad
This top is a good concept but the structure of it is not for all body types. i am 5.6 and 135 and wear an xs to a s in retailer tops and i ordered this is a small and it was huge in the chest and tight at my hips...will be returning.,bad
"I wanted to love these jeans, but as a woman who is almost 45 there was way too much stretch in them. i am always a size 26 and i couldn't wear these, they were way too tight! they went back the next day. i will say, it could be my body type, i""m a runner so my legs are muscular. if you have very thin legs, these could be great and work for you. i loved the color, dark blue.",bad
I ordered this online and was disappointed when it arrived. it didn't look quite like it does in the photos online. it also runs small. i returned it because i did not feel it was worth the high price.,bad
"I'm normally a small in retailer tops. i ordered a small, and the top fit well in the shoulders and in the upper (more fitted) part. it all went horribly wrong from there. the top billowed out at the bottom and fit like a circus tent, instantly adding a good 50 pounds to my frame. this was such a disappointment, as the pattern is beautiful and the fabric is high quality.",bad
"Beautiful fabric! unfortunately, i had to return it. after just one wear, it had pills all over the side. fabric is too delicate. sad to return!",bad
"Guess i should've looked at the pictures more closely. i ordered the white version and in the pictures you can't see that the sleeves are split - and it barely shows in the picture for the blue version. it also would've helped if the detail of the sleeves were noted in the item description. anyway, i will be returning this top because i don't like the way the sleeves look each time i bend my arms. looks a bit pirate-like to me.",bad
I have a similar pair of capris from retailer and when i ordered these i thought they were the same in a different color. these are less flattering and i may not keep them.,bad
The shirt cuts too high up and is very awkward looking on. sent it back. wouldn't buy even on sale.,bad
"It's like a work of art, but sadly, not flattering on me. i absolutely loved the look, and even considered taking it to a tailor, but the material overall is very stiff. if you're teeny tiny and need something to give you the illusion of hips, you might love it. very sad to return this.",bad
"These pants are more like 9"" not 10"". i was very dissappointed. the color is great and so is the fabric.
if you look more closely at the model the pants don't fit her either!! they are too small! i haven't decided whether or not to take them back because i am losing weight. i am a 31 so far but these pants are like a 30. i need the color because they go perfectly with a top i bought from retailer",bad
"As soon as i pulled these pants from their packaging, i feel in love with them. the fabric was so soft - i could not wait to get them on...yeah, that was not going to happen! i could not pull them on - not even a little bit! these pants run incredibly small. i ordered them twice: once in my regular size, and again in a larger size. unfortunately, i am sized out of these beauties.",bad
"The front cream panel is completely transparent.i didn't purchase because my bra showed and it would ruin the look with a cami underneath.

i wish the fabric were translucent - not so see through.",bad
"I loved the photo of this dress. upon examination of the dress (and trying it on) after receiving in the mail, the dress shown online is nothing like the dress i received save for the pattern. the dress i received has a side zip as well as a belt and no pleats on the top. the bottom is also cut straight across not as it appears in the photo. turns out it is not as flattering as it should appear.",bad
"I was so excited for this dress.. but sadly it did not meet expectations. the gauze fabric already had several snags/pullers in it. the underslip was very short and just cleared my derriere.(i'm 5'7"") i normally take a 10/12 and ordered this in a l.. it was somewhat clingy in the hip area but yet bulky on top. also, i like to have the first button open, but you could then see the v neck of the underslip and it looked hokey. it's definitely a thicker material than the previous plaid tunic holding",bad
,bad
"This skirt looks great on, i didn't even think before buying it, planning to wear it all summer. so the aesthetic is great. quality and design, not so much. you get exactly one good wear out of it before the folding absolutely disintegrates, it is not sewn in or built to last. 

then, it looks like a cheap sarong over a cheap miniskirt. i thought the dry cleaner might be able to fix it, but they said they would have to resew the whole garment, not exactly what you want to hear with almost bran",bad
"Perhaps i should have gotten two sizes smaller, but the knees on these were baggie by lunch.
they are very soft and comfortable, but i wouldn't buy them again.",bad
"After reading all the reviews and sizing down one size. i got my top size m, i usually wear m/l depending on the style. i'm 6 ft tall, 160 lb, i like my clothing loose but not as loose as this top. i should have gone to xxxxxs if such exists. no wonder there is such a low leap in price. it is a good quality though, and very nice pale peach color. no would not recommend, unless you wear 3xxxl",bad
"First let me say i love the fabric and the pattern of the blue dress. but the fit is extremely loose. they could take out an entire 12 inches of material and it would still be a swing dress. the photo of the back of the model, where the blue dress goes in to her waist is not at all accurate. if it was, i would love this dress. the photo of the model wearing the other color is how the dress actually hangs - straight down from the underarms and then bigger as it goes toward the hemline. i am 5'7""",bad
"I was really excited after finding this top online and reading the reviews; the combination of peplum, cap sleeves, and color seemed too good to be true. i ordered a size medium but unfortunately, this top is on the short side so wearing it with pants or jeans did not work out. in addition, the fabric was more sheer than it looks in the picture and the v-neck in front dipped a little lower, too. a camisole might have solved both of those problems but i didn't bother. i returned it to the store.",bad
"I love maeve and was so excited for this top which looked like an update from a last season favorite. unfortunately the fabric was stiff, it was tight in the chest and went straight down from there. returned.",bad
"I really wanted to love this top, but there is way too much fabric. it looks nothing like the pictures. it was more like a maternity top vs. a swingy top. i'll be returning this one.",bad
"The design of this sweater is odd. it made me feel very ""round"" when i put it on. the sleeves were wide. the other reviewers were correct in saying that it's a thick sweater, which i thought i'd like. the torso was slimmer and longer than i expected. it really was the odd design of the sleeves that made me not like this sweater.",bad
"I got this in a l, and probably i am a m. however, the waist pretty much fit, but the bodice was baggy in a really bizarre way. i don't think a human could actually be shaped a way that would fit properly in this dress. this dress is well suited for a woman with a very large bust, but a small waist.",bad
"Not great quality, runs a bit lose, disproportionate (too large in neck and arms area)",bad
I got the blue. it is very short. one side of the shirt i received was shorter that the other. the material feels cheap and pleats out a bit right over the bust - only flattering on small busted models.,bad
Tried this on in store. was ill-fitting and sheer.,bad
"This blouse is so beautiful - the collar, sleeves, material...everything except the cut! it was like a tent. it needed to be more tapered, which would be easy to do while still maintaining the beautiful breezy flow, and be about two inches longer.

i had been drooling over this top for awhile and was so disappointed! please fix it and then i will buy again. i am 5'4"", 140lbs and busty...a small was perfect, with the exception of the massive amount of material.",bad
Loved loved loved the shirt but...the material was so thin,bad
To be clear i am not built like your models but the biggest problem was the way in which it tented out from the bustline down,bad
The top is more of a cream color than an ivory. it's also a bit boxer than anticipated. fit is true to size.,bad
I would really like this dress if the material were a little thicker. it's really thin so you can see my nipples straight through the dress. you can't wear a bra with it because it is backless so i don't understand how you are supposed to wear this outside of the house.,bad
This dress is super bulky and unflattering. the knit is loose and see-through. looks like it was knitted by a five-year old. if you need a dress that adds twenty pounds then this is for you. back to the store it goes,bad
"I'm 5'2-5'3 which is supposed to be the max height for pieties in retailer (former employee) and while the bodice hit right, the skirt was insanely long. not even with heels is this gonna be right. and no discount towards hemming? i'll wait until this hits the sale rack, which it will because concensus is, it's way too long.",bad
"I opened these when i got them yesterday and immediately tried them on. the knees were totally stretched out and due to the panel at the knee, it looked like i had growths popping out between my legs at my knees. someone had received these before me and sent them back after they tried them on or wore them then returned them. they were obviously too small for whoever did that. these never should have been resent to another customer. they are obviously very misshapen. they are going back. on a bet",bad
"Really disappointing quality. these jeans are of a very poor quality material and developed holes in the inseams after only a month! i love pilcros, and am totally shocked at the poor quality...retailer, i hope this is just a fluke. not worth the money!",bad
These jeans were so cute on- wore them a handful of times and they'd been washed twice. put them on and - rip! ripped right at the crotch in the front so not fixable- and on vacation no less when i had to scramble to find something else to wear. poor quality - disappointing and not what i expected from retailer. :-( they also run large even for a more relaxed fit- sized down for a good fit.,bad
"I wanted to love this as i love holding horses but it fits weird, slender in arms but baggy in the torso. i will be returning",bad
"My v-shape figure (broad shoulder, narrow hips, waist not well defined) looked completely square in this. not flattering at all. perhaps better for other figures.",bad
"I loved the print and fabric of this dress when i first saw it, but trying it on was a very different story! the photo seems to show a wider, more well-defined waist, with just a small amount of ""blousing"" on top, but this was not the case. yes, the waist fit, but it is a narrow band that was covered completely by the hanging over of the ill-fitting top, turning the entire look into a shapeless and very unattractive fit. sadly, this is going right back!",bad
"This is not a kimono. it's a cocoon. there's a huge difference.

it's also not made very well.",bad
This blouse has such a beautiful print but then it just goes down from there and can't be saved. the fabric is a sheer silk so it comes with an attached camisole that just doesn't lay right underneath. the sleeves are all gathered up and they have a puffy gather at the top that just ruins the whole blouse. i wish it was just a simple popover type blouse because it really is a lovely print. definitely not worth the money even at 1/2 off plus 25-%.,bad
,bad
"Got this in wine, very pretty and soft. but so sheer, even with the dark color one would have to wear a cami. returning for this reason. having to wear a cami wrecks the otw ultra-comfort.",bad
Bought this shirt on-line. wanted to love it but just couldn't. i ordered the xs and it was huge and way too unstructured for my style....just didn't have enough shape. had to send it back.,bad
The style was really cute but the fit was huge. i ordered an xs. i don't think going to the xxs would have helped. i ended up returning it.,bad
"I absolutely loved the patterns and colors of this skirt, if only the cut wasn't so odd. the sides of the skirt ""wing out"" for a very distracting and unflattering look. the stiff, felt-like quality of the material only makes matters worse. in that respect, the model photos are not at all accurate. it also runs large. i had to go down one full size.",bad
"I purchased this top on sale and was really excited about the style. it fit great the first time i wore it. i washed it once, according to the care instructions. after washing it in cold water and allowing it to air dry, it was basically ruined. it shrunk up in length widened out about two inches. i'm pretty bummed about it because it was cute.",bad
"I love this top! i ordered it in a medium, and it's perfect. i'm 47 years old, 5'2"", 125 lbs, for reference. the detail on this top is beautiful. can be paired with so many things. love it!!!",good
"I've been looking for a navy shirt for some time and this is it. it's soft, drapes nicely but it's not as dressy as silk shirt would be. the navy is really blue, not a black-navy like so many. i've washed and dried it in the machines and it came out well. shrank just a little, but that made it perfect. for me it was true to size because i liked the slightly over-sized boyfriend fit, yet it still has shape. if you want a fitted shirt, go down a size or look for something else.",good
"Currently wearing right now :)
purchased during the first days of the tag sale. runs large (i.e. i typically wear m-l, and ended up going with a small!). definitely need a tank underneath, as the hook does not close the top of fully. like the blue color; the pink is more of a peach and made me look incredibly washed out.
a must at the tag sale price!",good
"I bought this top to have so that i can pair it with a lot of my other wardrobe pieces. the top is amazing! it is soft, great fabric, a cute cut, and can be styled in so many ways! definitely worth the buy!",good
"I agree with others that the shape is not perfect, it does billow a bit by the hips. but the xxs petite (someone returned) was good on me. length was perfect, sleeve were not too tights. (30dd, 26.5 in waist, 35 in hips, 115 lbs)
colors are subdued, making the jacket more neutral. keeping in mind for later...",good
,good
"This dress is gorgeous in person, but its very, very, very fitted. i wear a size 8 in most retailer dresses. i ordered the 8 and its not an option, not even with control undergarments. i sent the 8 back and re-ordered in a size 10. i wouldn't be surprised if i need the size 12. i hope it works because this is a beautiful dress. the pattern is stunning. the red is a deep brick shade. the fabric is thick, but not too thick to prevent transitioning from season to season. as other reviewers said, i am",good
"I found this skirt in a size 8 at my local retailer store. i admired it on the website but to see and feel it in person was very appealing. i tried it on and it fit beautifully, a style that looks great on my figure. i love the mohair weave of the color block sections. the negative is this skirt is really pricy but i had my birthday discount and since the size 8 was sold out online and this skirt must have been a return the chances of it going on sale in a size 8 were very slim. i am still admirin",good
"I've eyed this dress forever and finally decided to buy it. i literally read every single review to make sure i ordered the right size. i'm 5'4-3/4"", 36c-32-37 with a drop-waist that measures 34. based on the reviews, i ordered a regular size 6. i tried it on with a bra and also without, and the dress fits so well and beautifully both ways. but for complete comfort, i'll probably go without the bra (the lining and design don't show anything you don't want seen!). sitting in it feels great too. i",good
Love this top (and every top tiny puts out).  runs very small.  i normally wear an xs but i got a m in this top.  so pretty and great detail,good
True to size and love the color. great to wear dressed up with wedges and a blouse or dressed down with some mephistos and a tee. linen fabric makes them light for summer heat,good
"Love this dress! very flattering. material is thinner and more lightweight than i was imaging but it is great. it really does run small, like the other reviewers said -- glad i ordered one size up, fits perfectly!",good
This is an amazing looking skirt. it has such an exciting pattern on it and is very flattering. it is very light weight though....almost flimsy. but...it is not a deal breaker. i wear it and love it!,good
"Really, this top feels like a wonderfully expensive soft silk knit. it is just so very soft. the drape is really nice and there is stretch to it, making it very comfortable. it does have a tendency to fall towards the body, even though it's loose. so, i'd buy your regular size.

it's a thin material, but i don't think it's sheer at all. i bought the dark red/wine color and it's so classy! i love it. this will fit taller women easily because the arms and total length are on the long side (i sup",good
"This dress is gorgeous. flattering, comfortable, and machine washable!

for reference i am 5'5 145lbs, 38-30-40 and 34dd. i got the medium and it fits great! only flaw is that the armholes are a little large, but not enough that my bra shows so i am okay with it.",good
"The top is adorable, but probably better to wait for a sale as the full price is a little high for a simple top like this. i got the print one and it's very true to size.",good
"Really cute top! love the ruffle detailing and the pattern. quality could be slightly better since i slightly expected the material to be softer. either way, i'm happy with the top. got my usual xs and it fit perfectly. it's meant to be a looser top so i don't mind that it runs a little bigger.",good
"I love this dress! i would definitely accessorize with a belt. my body type fits best in this style of dress because i don't have a big bust size, if you do i would try it on first. for being shorter, 5'3"", i love the length.",good
"I usually wear a 4, but ordered a 2 & 0 because of the previous reviews. the 2 fit perfectly. the 0 was too snug across the shoulders. both sizes were the same length and width except the shoulders.the material is beautiful and seems very well made. i am thrilled with this purchase.it looks exactly like the photo.",good
"Love these pants!!! retailer - please sell more colors and patterns of these! i have a hard time finding work pants that fit right, don't have to be hemmed (i'm 5'3"") and aren't boring. this is just enough pattern to be interesting, but still neutral enough to pair with other things. i bought them full price and would happily do so again for another pattern!",good
"I loved this dress the moment i saw it, pre-ordered it, but when it arrived the fit was off. 
i am almost always a size 4p in retailer clothing, this fit wonderfully everywhere, except the shoulders and chest were very small. i am 5'2"" and 120 lb with a small bosom. (a cup) the shoulders were too tight and the chest gaped and sadly i had to return this dress.
i may try to find it in the store to try on multiple sizes for the right fit.",good
It's maybe a bit longer than i'd like but cute-great with slacks or dresses!,good
I loved this skirt. they didn't have my size anymore so i tried on a few others. i really needed a small p. otherwise i totally would have kept it!,good
"This top is an easy, classy staple for summer -tts and drapes well, great shape",good
"I was going to re-turn this.top  i was really on the fence.  so glad i didn't, it is.comfortable and easy to wear. lace is a little restrictive, but willing  to over look  it because i look so cute",good
Beautiful maxi fits tts. i normally wear a 10/12 and took a 12. it is flattering to the waist and makes me feel girly. the colors are so beautiful and the length is good for my 5'9 frame.,good
This is one of my favorite pair of pants. they don't stretch out while wearing and wash well. no pilling or shrinking. they can either be worn like leggings or pants. i wear a size 2 pants but got these in a 27 because i don't like them super fitted.,good
These jeans have become my new favorite pair! i bought two pairs during the clearance sale and wear them often. i love the metallic accents near the front pockets and the dark wash can be dressed up or down.,good
"I have this in darker blue and it is my favorite dress of the season. i didn't realize that there was one in turquoise until it was already sold out. please bring back or be so kind to contact me if an xs comes in as a return, etc. 
i love this so much!",good
"I was a little hesitant to buy these given that i am just 5'1"" - i didn't want to look like an extra from the set of ""newsies."" but these are very well made and tailored for a woman's body...the trousers actually accentuate the waist and the cropped leg works well for a petite frame. they are nicely lined and the wool blend is soft and not scratchy. i love them!",good
"This definitely runs a little large, but i love this tee.  i actually went back and bought it in a second color. it's perfect to throw on with shorts this summer.",good
"I am so happy with this chemise! the pink is the most breathtaking blush and the fabric is super soft. i like that the straps are adjustable, allowing me to make the bodice a perfect fit while adjusting the gown to the perfect length for me. it's definitely my new favorite!",good
"I bought this in a beautiful cornflower blue at my retailer store. i don't see that color for sale online. the blue material was not thin or see through, but perhaps the white is. the fit is very structured, which helps me cover my mom belly. i have never said this before, but i think it looks better on me than it does on the model wearing white. on sale, i got this for about $20. i got it for a steal. i like the different directions of line patterns and the length is nice too. one thing you can't",good
This dress is really really soft and comfortable. it's loose but still flattering. i would definitely recommend it.,good
"The photos really doesn't do this sweater justice. when i saw it in store ii was really drawn to the colors which are a bit brighter than they appear in the photos. this will be great over jeans or slim pants. i usually wear a l or xl and i went with the l which is still roomy enough to layer but not too big. at 5'5"" it drapes nicely and covers my rear end. the arms are a bit long on me but it is a common issue for me as i have short arms. others have mentioned the arms being big but i think the",good
"Love, love, this top! it's flattering (shows off your shoulders) soft and has delicate embroidery. i typically order a xxsp in antro tops as i'm very petite but decided to order both xxsp and xxs, just to see the difference. the xxs worked better as the xxsp was too short in length and kind of looked like i was trying to fit into a child size top. the xxs is a perfect length. it's my new favorite and i can see keeping this in my wardrobe for a long, long, time.",good
