review,classification
I was so excited to try these on at my local retailer. i'm so glad i did before i ordered them online because i found the fit to be totally off. the pants bulged around my hips and looked very awkward. they were also not as soft as i expected them to be.,bad
This shirt is not near as nice as it may look the fabric is just ok it runs large i ordered a xs and the neck line was huge and gaping not worth the money even on sale,bad
"I want to love this shirt, i really do, but it's huge! the top is tent-like, which would be adorable with skinny jeans, however the length of the back dips so low, the top kind of reminds me of pajamas. the color is beautiful, more like a light grey heather, and the white piping is like a shimmery ribbon material. overall, the top is cute, but it dips too low in the back and the bow weighs down the back of the shirt, so it makes it hard to adjust it in the front. sadly, it's a return.",bad
"Alas, i so wanted to love this. the photos of the models wearing it look gorgeous -- flowy, drapey, ultimate grecian goddess. but it just doesn't work unless you're super-skinny. too much material. almost bulky; strange looking. the print is so beautiful -- i love the pink floral, and i love the whole idea of the dress. but it just doesn't work. have to send it back. 

(i'm 5'6"", 135 pounds, 38-30-38, and i ordered a 10.)",bad
,bad
Looks great on the photo and from previous reviews i decided to give it a try. the material seems cheap and stiff. would not fit my frame well.,bad
"I ordered these in m (5'8"" 140 lbs.) and they are tts: they fit well and are neither tight nor loose. the issue that i have with them (and the reason that i sent them back) is that the material, although comfortable, is completely transparent; if i were to try to run out to get the mail in these, the whole neighborhood would essentially see me bottomless! furthermore, these are not white but off-white (and quite a yellowy off-white, at that), so these loungers don't look as cute with the feature",bad
"I really like the look of the top when it is photographed on other people but it just isn't for me. the fabric is stiffer than i would have expected and not very moveable. the fit is not quite right on me. the longer sleeves detract from the look of the shirt. i also generally prefer things a little more form fitting of which this is not. it was not very comfortable for me either, so this was clearly not a win for me.",bad
"I bought 3 shirts in gold, black and red. they arrived larger than expected. after the first wash and air dry they shrunk. i would have been thrilled but they shrunk to be shorter while staying too wide. also my black shirt faded a lot with one wash.",bad
"I saw this dress worn on the street and thought it was lovely, the perfect work dress. i then found it in the store and my size was already sold out, so i visited another retailer, and another to find it. unfortunately the color blocking on the chest was not very flattering for me, it seemed to overly accentuate it. i am 5'9"" a 36 dd size 12.
the colors, the fabric are all wonderful. but this dress is not for me.",bad
Frumpy - looked like a nightgown on me; maybe  better on someone younger ...,bad
"I love the color of this dress. it is not flattering, even though it should be. the weird panels of different materials makes it hang super funky. the lace is heavy but the silky panels aren't. so not flattering, it's just odd. and the fit is super huge, you are swimming in it in addition to a poor body drape. it could have been so cute, but was executed so poorly.",bad
"I normally wear a medium in retailer dresses, but ordered a small due to the reviews that stated how large this dress is. they weren't exaggerating!!!! the small was way too big for me, and the xxs and xs are already sold out. beware that you will have to size down at least 2 sizes to make the dress fit similar to the model pictured. it is going back for me!",bad
Only one sleeve is folded twice and sewed. meh.,bad
This is another item i've been stalking that i thought miraculously made it to sale with my size still available. i ordered online but when it arrived i have to be honest i didn't even try it on because i knew it would be going back. the beautiful print online looks really cheap irl on the flimsy fabric. the beaded detail on neck is basically a low grade sequin trim. so much potential just executed poorly.,bad
"I bought this online in the grey and blue and had high hopes. it runs big so size down at least 1-2 sizes. i didn't realize that the sweater looking part on the forearms was part of the coat. that part of the coat is really nice and comfy. unfortunately, the rest of the coat (the wool part) is very itchy. it would've been awesome if it was lined on the inside, but it's not...so i'm taking them back.",bad
I loved this shirt until the first time i washed it. it shrunk so much it became unwearable. when i returned it the salesperson said she had also bought this shirt and the same thing happened.,bad
"I ordered this because the reviews were outstanding. i am returning it. although the embroidery looks fine on screen, in person it looks cheap and tacky. moreover, the high ruffled neck goes a step too far -- into over-the-top victorian cutesy.
overpriced, to boot.
obviously, mine is a minority opinion.",bad
"I really wanted to love these, i bought them in a rush because i needed to replace my skinny jeans asap. they were a little long and didn't quite hug my calves but i figured with hemming they would be fine. i was told they wouldn't stretch out much. well, they fit great at the waist but the legs are now huge on me and i can't get them to shrink. wish i spent a little more on a different skinny jean. too late to return, so my hoping to be going out jeans are now lazy day jeans.",bad
"I ordered this top because it was 100 percent cotton and a cute design. when it arrived, i thought it was a cute, different top, uniquely designed. when i tried it on, it looked like a had several extra rolls due to the ruching and was very unflattering. it reminded me of the michelin man wearing extra tires and i am of a thin build so i did not like the perception of rolls throughout the bodice. unfortunately, it did not work for me. i wish retailer would include more cotton tops in their collect",bad
"I bought this online with the intention of it being my graduation dress. i'm 5'2"", 115 pounds so i should've known better and gotten a ""petite"" style dress. however, i loved the modern look of this and since my boobs are a bit bigger (34d) i figured they would help fill it out. upon receiving the dress, i was first shocked that for the price, the construction was pretty poor quality: there were strings coming out of the straps and they looked unevenly sewn. when i put it on, it was clear that th",bad
"I ordered these jeans twice because i love them. the first pair were mis-marked by about 4 sizes so i re-ordered. second pair still didn't fit, they run really small, i would probably need one maybe two sizes larger than normal to achieve the fit and feel of the other skinny jeans in my closet:(",bad
